image,size,width,height,iou,f1,inference_time
Tp_D_CND_M_N_ani00018_sec00096_00138.tif,384x256,384,256,0.985216,0.992553,0.4929
Tp_D_CND_M_N_art00076_art00077_10289.tif,384x256,384,256,0.976838,0.988283,0.3621
Tp_D_CND_M_N_art00077_art00076_10290.tif,384x256,384,256,0.980815,0.990315,0.3893
Tp_D_CND_S_N_ani00073_ani00068_00193.tif,256x384,256,384,0.961591,0.98042,0.4363
Tp_D_CND_S_N_ind00078_ind00077_00476.tif,384x256,384,256,0.981175,0.990498,0.4326
Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,384x256,384,256,0.98324,0.991549,0.3142
Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,384x256,384,256,0.990443,0.995199,0.3629
Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,640x480,640,480,0.98228,0.991061,0.4138
Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,640x480,640,480,0.993002,0.996489,0.3362
Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,384x256,384,256,0.935288,0.966562,0.3578
Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,384x256,384,256,0.949572,0.974134,0.4072
Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,384x256,384,256,0.959944,0.979563,0.3322
Tp_D_CNN_M_N_arc00086_xxx00001_00306.tif,384x256,384,256,0.955287,0.977132,0.3633
Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,384x256,384,256,0.929531,0.963479,0.3179
Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,256x384,256,384,0.944906,0.971673,0.3707
Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,384x256,384,256,0.955844,0.977424,0.405
Tp_D_CNN_M_N_nat00041_nat10123_11439.jpg,384x256,384,256,0.970127,0.984837,0.3228
Tp_D_CNN_M_N_nat00089_nat00062_10577.jpg,384x256,384,256,0.937127,0.967543,0.3236
Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg,640x480,640,480,0.995055,0.997522,0.4639
Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,640x480,640,480,0.861439,0.925563,0.4718
Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,384x256,384,256,0.441988,0.613026,0.5775
Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,384x256,384,256,0.977397,0.98857,0.6156
Tp_D_CNN_M_N_txt00054_txt00050_10375.tif,384x256,384,256,0.982427,0.991135,0.5809
Tp_D_CNN_S_B_art10110_cha10110_11564.jpg,384x256,384,256,0.0,0.0,0.4978
Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,384x256,384,256,0.972612,0.986116,0.5573
Tp_D_CNN_S_B_sec00023_sec00022_00044.tif,384x256,384,256,0.973521,0.986583,0.5509
Tp_D_CNN_S_B_txt00055_txt00047_11328.jpg,384x256,384,256,0.926077,0.96162,0.4751
Tp_D_CNN_S_N_ani00053_ani00051_11148.jpg,384x256,384,256,0.903017,0.949037,0.4892
Tp_D_CNN_S_N_ani00087_ani00088_10102.tif,384x256,384,256,0.959424,0.979292,0.5364
Tp_D_CNN_S_N_art00001_ani00074_10442.tif,384x256,384,256,0.982251,0.991046,0.5463
Tp_D_CNN_S_N_art00007_art00008_01197.tif,384x256,384,256,0.942297,0.970291,0.5152
Tp_D_CNN_S_N_art00011_art00014_11841.jpg,384x256,384,256,0.963399,0.981358,0.5041
Tp_D_CNN_S_N_art00096_cha00063_10305.tif,384x256,384,256,0.92007,0.958371,0.5109
Tp_D_CNN_S_N_cha00044_cha00043_00364.tif,384x256,384,256,0.969969,0.984756,0.5495
Tp_D_CNN_S_N_ind00005_ind00014_00424.tif,384x256,384,256,0.950524,0.974635,0.6104
Tp_D_CNN_S_N_nat00094_nat00067_10612.jpg,384x256,384,256,0.77533,0.873449,0.4294
Tp_D_CNN_S_N_nat00095_ani00017_10219.tif,384x256,384,256,0.941413,0.969822,0.5885
Tp_D_CNN_S_N_nat10156_ani00097_12022.jpg,640x480,640,480,0.93007,0.963768,0.5158
Tp_D_CNN_S_N_sec00042_ani00070_10541.tif,384x256,384,256,0.87177,0.931493,0.4702
Tp_D_CNN_S_N_sec00042_ani00078_10495.tif,384x256,384,256,0.840462,0.913317,0.4569
Tp_D_CNN_S_N_txt00043_txt00051_10378.tif,384x256,384,256,0.987894,0.99391,0.553
Tp_D_CNN_S_N_txt00052_txt00051_10377.tif,384x256,384,256,0.990898,0.995428,0.5641
Tp_D_CNN_S_N_txt00054_txt00049_10371.tif,384x256,384,256,0.960619,0.979914,0.5064
